id_horario_voo;id_companhia;id_conexao;id_aeronave;data;partida_prevista;chegada_prevista;partida_real;chegada_real;situacao_voo;situacao_partida;situacao_chegada
1c7041ea-01e6-4c0b-ad2f-dd776dfc73cd;ce426038-3585-408e-ac04-b844922479ef;cd7ff42b-f67e-4e81-abe3-22a426f85693;fd44458d-98c2-4afd-99a3-95a34df5c316;2024-11-11;1900-01-01 09:15:00;1900-01-01 11:20:00;09:15:00;09:51:00;CONCLUÍDO;PONTUAL;ATRASADO
84300f5a-392c-4f66-a5f9-ba11ea054567;ce426038-3585-408e-ac04-b844922479ef;7ae3649b-5da9-44b3-9c16-92b522a9a1a4;2b07af62-655f-45ac-a67d-4901ab13fe66;2024-12-12;1900-01-01 12:05:00;1900-01-01 14:05:00;;;AGUARDANDO;;
e9ea6cab-bedf-4d62-8185-cf78c875e293;ce426038-3585-408e-ac04-b844922479ef;a0e10c0d-95ff-41be-ade1-0b9ce266e162;9059a502-86c5-46dc-9316-2e935c7053c9;2024-11-15;1900-01-01 15:40:00;1900-01-01 17:15:00;15:40:00;17:15:00;CONCLUÍDO;PONTUAL;PONTUAL
819c43a7-3d97-4cb0-b4d3-67e96cd7a94e;ce426038-3585-408e-ac04-b844922479ef;70c6b874-38be-4847-a7ea-5066417abeae;1af4b9a5-10c7-4989-93bb-66e9cb07439b;2024-11-11;1900-01-01 17:40:00;1900-01-01 19:25:00;17:50:00;18:14:00;CONCLUÍDO;ATRASADO;ATRASADO
ea4a8f9d-5a87-48e7-ac2c-b110c8515154;ce426038-3585-408e-ac04-b844922479ef;70c6b874-38be-4847-a7ea-5066417abeae;2fae7090-ff92-454c-b751-b494cf4012e1;2024-11-09;1900-01-01 15:35:00;1900-01-01 17:20:00;16:18:00;17:20:00;CONCLUÍDO;ATRASADO;PONTUAL
2457718b-0d22-40f9-8169-36eb9a84df95;ce426038-3585-408e-ac04-b844922479ef;70c6b874-38be-4847-a7ea-5066417abeae;2c48553f-5148-4a5d-9bb8-fd6b05d021cb;2024-11-19;1900-01-01 08:25:00;1900-01-01 10:05:00;08:25:00;08:38:00;CONCLUÍDO;PONTUAL;ATRASADO
64434cb2-88fd-4e27-9ba3-9b08b97fa5d8;ce426038-3585-408e-ac04-b844922479ef;519f82f1-23db-4a28-a8ef-570250642e62;2c48553f-5148-4a5d-9bb8-fd6b05d021cb;2024-11-02;1900-01-01 13:10:00;1900-01-01 16:05:00;;;CANCELADO;;
16cbfe5a-6b89-49a1-9016-63cc2f0cd882;ce426038-3585-408e-ac04-b844922479ef;e138abea-fd06-41f2-b1f1-38530ee626e8;f136a529-cb84-47a2-9f90-5187fdcde313;2024-11-26;1900-01-01 16:50:00;1900-01-01 19:45:00;17:22:00;18:02:00;CONCLUÍDO;ATRASADO;ATRASADO
6346e7e7-da84-4afa-8554-b5bce21897a4;ce426038-3585-408e-ac04-b844922479ef;1ba2d14d-28bb-4508-aef7-045bdf021126;f13498fc-c3d3-481e-acf6-58a85e5968c5;2024-11-26;1900-01-01 10:35:00;1900-01-01 11:20:00;10:35:00;;EM CURSO;PONTUAL;
2c640309-dec0-4a0f-98e2-da0aa553c3ee;ce426038-3585-408e-ac04-b844922479ef;a37dde07-b3d8-4a3f-95af-ecdb866e4e36;f136a529-cb84-47a2-9f90-5187fdcde313;2024-12-09;1900-01-01 09:00:00;1900-01-01 10:10:00;09:00:00;09:12:00;CONCLUÍDO;PONTUAL;ATRASADO
eb0b05de-c514-441d-ba07-aebfc9dc7c38;ce426038-3585-408e-ac04-b844922479ef;5c1b6f1c-93b1-4997-8fc0-6cd6a4064cbe;f136a529-cb84-47a2-9f90-5187fdcde313;2024-11-08;1900-01-01 13:10:00;1900-01-01 14:00:00;13:10:00;;EM CURSO;PONTUAL;
44a4870d-7307-440a-86f0-97fb4dfa8ffb;ce426038-3585-408e-ac04-b844922479ef;57c7c72c-2089-4f45-b60f-fd83034c8ad0;9059a502-86c5-46dc-9316-2e935c7053c9;2024-11-25;1900-01-01 12:05:00;1900-01-01 12:45:00;12:25:00;13:17:00;CONCLUÍDO;ATRASADO;ATRASADO
cd209d7c-3975-41bf-aa9e-d50a2c937f56;ce426038-3585-408e-ac04-b844922479ef;c6d7938d-4b87-4912-8eb8-bfb3880a5817;a3cc9e35-9675-4fdc-a4f6-f3474f6dae53;2024-11-15;1900-01-01 17:00:00;1900-01-01 17:40:00;17:00:00;17:40:00;CONCLUÍDO;PONTUAL;PONTUAL
221958be-5b31-4d3d-99e4-ba94ff89f6c9;ce426038-3585-408e-ac04-b844922479ef;7d8aa764-db4b-4827-b1fe-907984b7e448;a3cc9e35-9675-4fdc-a4f6-f3474f6dae53;2024-12-13;1900-01-01 15:35:00;1900-01-01 16:35:00;15:43:00;;EM CURSO;ATRASADO;
07c4fd81-071e-4681-93a5-bd789218581d;ce426038-3585-408e-ac04-b844922479ef;e14e292f-75e0-45df-875f-81d5fe6f2223;1af4b9a5-10c7-4989-93bb-66e9cb07439b;2024-11-23;1900-01-01 18:25:00;1900-01-01 19:15:00;18:41:00;;EM CURSO;ATRASADO;
8443f328-20a4-4c6e-bad5-0e68dbb71f31;ce426038-3585-408e-ac04-b844922479ef;bc180c74-3294-45f6-af75-04d7c99f48e6;c4e14f49-1009-411d-bab5-f34f0124265a;2024-11-28;1900-01-01 19:40:00;1900-01-01 20:50:00;;;CANCELADO;;
1acdcef4-5979-4942-b625-ee1622ba5d04;ce426038-3585-408e-ac04-b844922479ef;5994f9fb-d06d-4941-8019-8e0eedd21e48;be988c96-0793-4227-8bc6-a367b3c55b5e;2024-11-30;1900-01-01 19:50:00;1900-01-01 21:25:00;20:00:00;20:23:00;CONCLUÍDO;ATRASADO;ATRASADO
3f6cea11-5e1a-441f-a372-08ae001a501f;ce426038-3585-408e-ac04-b844922479ef;5cfe5cd9-cf98-4dbb-bc39-8d4148f45c7b;2b07af62-655f-45ac-a67d-4901ab13fe66;2024-11-13;1900-01-01 06:45:00;1900-01-01 08:30:00;07:05:00;08:30:00;CONCLUÍDO;ATRASADO;PONTUAL
3d477e41-1d53-4260-b38b-090e7229a92c;ce426038-3585-408e-ac04-b844922479ef;5994f9fb-d06d-4941-8019-8e0eedd21e48;2c48553f-5148-4a5d-9bb8-fd6b05d021cb;2024-11-24;1900-01-01 15:00:00;1900-01-01 16:35:00;;;AGUARDANDO;;
6a6cf235-62b5-4bd4-a4fa-453d2281a43f;ce426038-3585-408e-ac04-b844922479ef;5cfe5cd9-cf98-4dbb-bc39-8d4148f45c7b;0b9197f5-7d74-4f27-bea6-08597a977adf;2024-12-04;1900-01-01 17:00:00;1900-01-01 18:45:00;17:00:00;17:44:00;CONCLUÍDO;PONTUAL;ATRASADO
fadf5e08-6759-4296-9a7c-5f27ba6961c1;ce426038-3585-408e-ac04-b844922479ef;85d479d5-ab96-4368-9cde-b74f517e35b1;2b07af62-655f-45ac-a67d-4901ab13fe66;2024-12-12;1900-01-01 09:20:00;1900-01-01 10:25:00;;;CANCELADO;;
